,Unnamed: 0,Price,Address,Beds,Bathrooms,Square Footage,Property type
463,463,"$1,438,888","4564 189th St, Flushing, NY 11358",6 bds,3 ba,"2,400 sqft",- Multi-family home for sale
464,464,"$565,000","221 Van Pelt Ave, Staten Island, NY 10303",3 bds,3 ba,"1,836 sqft",- House for sale
465,465,"$185,000","9979 Shore Rd APT 12A, Brooklyn, NY 11209",Studio,1 ba,380 sqft,- Condo for sale
466,466,"$595,000","190 E 72nd St APT 11B, New York, NY 10021",2 bds,2 ba,-- sqft,- Condo for sale
467,467,"$323,000","96 Arden St APT 4H, New York, NY 10040",Studio,1 ba,535 sqft,- Condo for sale
468,468,"$715,000","2747 Seymour Ave, Bronx, NY 10469",5 bds,3 ba,"2,180 sqft",- Multi-family home for sale
469,469,"$1,050,000","205 3rd Ave APT 7S, New York, NY 10003",2 bds,1 ba,"1,070 sqft",- For sale by owner
470,470,"$535,000","94-30 60th Ave #2C, Elmhurst, NY 11373",3 bds,2 ba,"1,250 sqft",- Condo for sale
471,471,"$699,000","411 Medina St, Staten Island, NY 10306",4 bds,3 ba,"1,318 sqft",- House for sale
472,472,"$648,000","292 Rose Ave, Staten Island, NY 10306",3 bds,2 ba,"1,180 sqft",- House for sale
473,473,"$249,999","1711 Davidson Ave APT 6K, Bronx, NY 10453",3 bds,1 ba,"1,400 sqft",- Condo for sale
474,474,"$715,000","2032 Tomlinson Ave, Bronx, NY 10461",3 bds,2 ba,"1,740 sqft",- Multi-family home for sale
475,475,"$729,999","467 Durant Ave, Staten Island, NY 10308",4 bds,2 ba,"1,884 sqft",- House for sale
476,476,"$1,195,000","555 W 23rd St APT N4A, New York, NY 10011",1 bd,1 ba,850 sqft,- For sale by owner
477,477,"$745,000","1082 Woodrow Rd, Staten Island, NY 10312",3 bds,2 ba,"2,215 sqft",- House for sale
478,478,"$729,999","467 Durant Ave, Staten Island, NY 10308",4 bds,2 ba,"1,884 sqft",- House for sale
479,479,"$1,195,000","555 W 23rd St APT N4A, New York, NY 10011",1 bd,1 ba,850 sqft,- For sale by owner
480,480,"$745,000","1082 Woodrow Rd, Staten Island, NY 10312",3 bds,2 ba,"2,215 sqft",- House for sale
481,481,"$999,998","174 Malone Ave, Staten Island, NY 10306",5 bds,4 ba,"2,677 sqft",- Multi-family home for sale
482,482,"$349,000","100 W 57th St #16ON, New York, NY 10019",1 bd,2 ba,-- sqft,- Condo for sale
483,483,"$514,000","36 Dongan St, Staten Island, NY 10310",4 bds,2 ba,"1,514 sqft",- House for sale
484,484,"$215,500","108-50 62nd Dr #6G, Forest Hills, NY 11375",Studio,1 ba,650 sqft,- Condo for sale
485,485,"$1,950,000","350 W 12th St APT 2A, New York, NY 10014",2 bds,2 ba,925 sqft,- Condo for sale
486,486,"$839,000","86-57 110th St, Richmond Hill, NY 11418",5 bds,2 ba,-- sqft,- Multi-family home for sale
487,487,"$1,750,000","168 E 90th St APT 1E, New York, NY 10128",4 bds,4 ba,"1,820 sqft",- Condo for sale
488,488,"$260,000","147-64 Village Rd APT 90D, Jamaica, NY 11435",2 bds,1 ba,-- sqft,- Condo for sale
489,489,"$175,000","1550 Unionport Rd APT 6E, Bronx, NY 10462",1 bd,1 ba,613 sqft,- Condo for sale
490,490,"$739,000","2334 Delanoy Ave, Bronx, NY 10469",3 bds,3 ba,"2,052 sqft",- House for sale
491,491,"$598,000","117 Forest Grn, Staten Island, NY 10312",4 bds,3 ba,"2,000 sqft",- Townhouse for sale
492,492,"$69,999","463 E 178th St APT 4C, Bronx, NY 10457",1 bd,1 ba,800 sqft,- Condo for sale
493,493,"$484,900","78 Taft Ave, Staten Island, NY 10301",3 bds,3 ba,"1,780 sqft",- House for sale
494,494,"$329,000","5235 Post Rd #3DE, Bronx, NY 10471",2 bds,2 ba,-- sqft,- Condo for sale
495,495,"$427,500","111-69 158th St, Jamaica, NY 11433",3 bds,2 ba,"1,488 sqft",- Foreclosure
496,496,"$10,250,000","52 E 91st St, New York, NY 10128",5 bds,5 ba,"4,500 sqft",- For sale by owner
497,497,"$6,188,000","1151 83rd St, Brooklyn, NY 11228",6 bds,5 ba,"3,958 sqft",- House for sale
498,498,"$255,000","2251 Knapp St APT 6L, Brooklyn, NY 11229",3 bds,1 ba,"1,200 sqft",- Condo for sale
499,499,"$1,300,000","93 Pilling St, Brooklyn, NY 11207",5 bds,3 ba,"2,700 sqft",- Multi-family home for sale
500,500,"$200,000","56 W 119th St APT 2C, New York, NY 10026",1 bd,1 ba,-- sqft,- Condo for sale
501,501,"$675,000","1737 E 21st St #1C, Brooklyn, NY 11229",2 bds,2 ba,"1,000 sqft",- Condo for sale
502,502,"$990,000","145100 178th Pl, Jamaica, NY 11434",6 bds,5 ba,"3,000 sqft",- Multi-family home for sale
503,503,"$1,298,000","32-18 172nd St, Flushing, NY 11358",4 bds,3 ba,"2,300 sqft",- House for sale
504,504,"$649,000","138 Lindenwood Rd, Staten Island, NY 10308",3 bds,1 ba,"1,960 sqft",- House for sale
505,505,"$999,999","130 Downes Ave, Staten Island, NY 10312",4 bds,4 ba,"2,520 sqft",- Multi-family home for sale
506,506,"$2,980,000","218-15 40th Ave, Bayside, NY 11361",5 bds,5 ba,-- sqft,- New construction
507,507,"$365,000","3600 Fieldston Rd APT 3J, Bronx, NY 10463",2 bds,1 ba,"1,100 sqft",- Condo for sale
508,508,"$1,550,000","107 W 25th St APT 5E, New York, NY 10001",2 bds,1 ba,"1,100 sqft",- Condo for sale
509,509,"$215,000","5620 Netherland Ave APT 3G, Bronx, NY 10471",2 bds,1 ba,850 sqft,- Condo for sale
510,510,"$799,000","293 E 49th St, Brooklyn, NY 11203",4 bds,3 ba,"1,949 sqft",- Multi-family home for sale
511,511,"$580,000","1199 Rockland Ave, Staten Island, NY 10314",3 bds,1 ba,"1,368 sqft",- House for sale
512,512,"$1,098,888","92-70 224th St, Queens Village, NY 11428",5 bds,5 ba,"2,478 sqft",- House for sale
513,513,"$250,000","1551 Park Pl APT 1D, Brooklyn, NY 11213",2 bds,1 ba,"1,000 sqft",- Condo for sale
514,514,"$425,000","210 E 88th St APT 1C, New York, NY 10128",1 bd,1 ba,-- sqft,- Condo for sale
515,515,"$3,499,000","738 Todt Hill Rd, Staten Island, NY 10304",7 bds,8 ba,"12,200 sqft",- House for sale
516,516,"$499,999","13-14 212th St #121, Bayside, NY 11360",3 bds,1 ba,-- sqft,- Condo for sale
517,517,"$749,000","31-85 Crescent St #405, Astoria, NY 11106",2 bds,2 ba,"1,050 sqft",- Condo for sale
518,518,"$18,800,000","123 E 61st St, New York, NY 10065",7 bds,9 ba,"9,300 sqft",- House for sale
519,519,"$2,239,000","31 Barlow Dr N, Brooklyn, NY 11234",5 bds,4 ba,"4,845 sqft",- House for sale
520,520,"$998,000","138_20 58th Rd, Flushing, NY 11355",4 bds,2 ba,"1,224 sqft",- Multi-family home for sale
521,521,"$325,000","285 E 35th St APT 4G, Brooklyn, NY 11203",2 bds,1 ba,800 sqft,- Condo for sale
522,522,"$459,000","18-15 215th St #6H, Bayside, NY 11360",2 bds,2 ba,"1,000 sqft",- Condo for sale
523,523,"$900,000","205 E 63rd St #11GH, New York, NY 10065",3 bds,3 ba,"1,700 sqft",- Condo for sale
524,524,"$567,000","216-20 17th Ave #TOWNHOUSE 58, Bayside, NY 11360",3 bds,3 ba,-- sqft,- Condo for sale
525,525,"$969,000","3603 Glenwood Rd, Brooklyn, NY 11210",4 bds,2 ba,"1,862 sqft",- House for sale
526,526,"$840,000","101 Rugby Ave, Staten Island, NY 10301",4 bds,3 ba,"1,418 sqft",- House for sale
527,527,"$250,000","1938 E Tremont Ave APT 1F, Bronx, NY 10462",2 bds,1 ba,836 sqft,- Condo for sale
528,528,"$1,975,000","679 Saint Marks Ave, Brooklyn, NY 11216",5 bds,4 ba,"2,726 sqft",- Multi-family home for sale
529,529,"$599,000","18-15 215th St APT 2E, Bayside, NY 11360",2 bds,2 ba,"1,400 sqft",- Condo for sale
530,530,"$1,695,000","333 Park Ave S APT 2D, New York, NY 10010",2 bds,2 ba,"1,600 sqft",- Condo for sale
531,531,"$699,999","1566 Longfellow Ave, Bronx, NY 10460",7 bds,5 ba,"3,000 sqft",- Multi-family home for sale
532,532,"$79,000,000","2 Park Pl, New York, NY 10007",1 bd,1 ba,"9,680 sqft",- Condo for sale
533,533,"$470,000","159 Madison Ave APT 8B, New York, NY 10016",Studio,1 ba,600 sqft,- Condo for sale
534,534,"$320,000","117-01 Park Ln S APT C4H, Richmond Hill, NY 11418",1 bd,1 ba,-- sqft,- Condo for sale
535,535,"$350,000","225 E 4th St #14, New York, NY 10009",Studio,1 ba,-- sqft,- Condo for sale
536,536,"$225,000","215 W 105th St APT 4E, New York, NY 10025",2 bds,1 ba,-- sqft,- Condo for sale
537,537,"$695,000","27 E 65th St APT 8F, New York, NY 10065",2 bds,2 ba,-- sqft,- Condo for sale
538,538,"$269,000","735 Avenue W #1E, Brooklyn, NY 11223",1 bd,1 ba,850 sqft,- Condo for sale
539,539,"$599,000","749 Nugent Ave, Staten Island, NY 10306",3 bds,2 ba,"1,280 sqft",- House for sale
540,540,"$1,325,000","357 Ashland Ave, Staten Island, NY 10309",3 bds,4 ba,"4,950 sqft",- Multi-family home for sale
541,541,"$649,000","13 Elm Pl #13, Bronx, NY 10465",4 bds,3 ba,"1,600 sqft",- Condo for sale
542,542,"$199,000","12510 Queens Blvd APT 1217, Kew Gardens, NY 11415",Studio,1 ba,566 sqft,- Condo for sale
543,543,"$839,000","4169 Cross Bronx Expy, Bronx, NY 10465",5 bds,2 ba,"2,350 sqft",- Multi-family home for sale
544,544,"$480,000","246 Spring St #1503, New York, NY 10013",Studio,1 ba,488 sqft,- Condo for sale
545,545,"$258,000","138-20 31st Rd #1J, Flushing, NY 11354",1 bd,1 ba,850 sqft,- Condo for sale
546,546,"$499,000","211 Thompson St APT 2K, New York, NY 10012",Studio,1 ba,-- sqft,- Condo for sale
547,547,"$659,000","210 Myrtle Ave, Staten Island, NY 10310",4 bds,4 ba,"2,544 sqft",- Multi-family home for sale
548,548,"$629,900","26 Cortelyou Ave, Staten Island, NY 10312",3 bds,2 ba,"1,470 sqft",- House for sale
549,549,"$1,099,000","75-40 Furmanville Ave, Middle Village, NY 11379",4 bds,3 ba,"2,367 sqft",- House for sale
550,550,"$135,000","1480 Thieriot Ave APT 4B, Bronx, NY 10460",1 bd,1 ba,800 sqft,- Condo for sale
551,551,"$125,000","526 W 158th St #55, New York, NY 10032",2 bds,1 ba,600 sqft,- Condo for sale
552,552,"$1,050,000","2817 Maitland Ave, Bronx, NY 10461",7 bds,3 ba,"2,352 sqft",- Multi-family home for sale
553,553,"$3,350,000","10-44 Totten St, Whitestone, NY 11357",4 bds,5 ba,"4,400 sqft",- House for sale
554,554,"$650,000","31-85 Crescent St APT 215, Astoria, NY 11106",2 bds,1 ba,910 sqft,- Condo for sale
555,555,"$799,000","1522 McDonald St, Bronx, NY 10461",5 bds,2 ba,"2,170 sqft",- Multi-family home for sale
556,556,"$1,399,000","11 Frosinone Ln, Staten Island, NY 10309",5 bds,4 ba,"3,900 sqft",- New construction
557,557,"$1,399,000","11 Frosinone Ln, Staten Island, NY 10309",5 bds,4 ba,"3,900 sqft",- New construction
558,558,"$879,888","2303 33rd Rd, Long Island City, NY 11106",3 bds,1 ba,"1,224 sqft",- House for sale
