,Address,Beds,Bathrooms,Square Footage,Property type
201,"3235 200th St, Flushing, NY 11361",4 bds,2 ba,"1,958 sqft",- House for sale
202,"214 W 11th St, New York, NY 10014",5 bds,6 ba,"3,344 sqft",- Townhouse for sale
203,"307 Halsey St, Brooklyn, NY 11216",5 bds,3 ba,"3,000 sqft",- Multi-family home for sale
204,"26 Fillmore St, Staten Island, NY 10301",4 bds,2 ba,"1,390 sqft",- House for sale
205,"704 Brook Ave APT 3U, Bronx, NY 10455",2 bds,2 ba,"1,100 sqft",- Condo for sale
206,"120 Jefferson Ave, Brooklyn, NY 11216",4 bds,2 ba,"2,216 sqft",- Townhouse for sale
207,"343 E 74th St APT 15B, New York, NY 10021",3 bds,3 ba,"1,198 sqft",- Apartment for sale
208,"17358 105th Ave, Jamaica, NY 11433",6 bds,3 ba,974 sqft,- House for sale
209,"303 E 57th St #17CD, New York, NY 10022",2 bds,3 ba,"2,200 sqft",- Condo for sale
210,"310 Riverside Dr APT 314, New York, NY 10025",1 bd,1 ba,531 sqft,- Condo for sale
211,"151 E 58th St PENTHOUSE 5152W, New York, NY 10022",5 bds,7 ba,"9,000 sqft",- Condo for sale
212,"39 Austin Ave, Staten Island, NY 10305",5 bds,3 ba,"2,007 sqft",- House for sale
213,"116-30 128th St, South Ozone Park, NY 11420",3 bds,2 ba,"1,920 sqft",- House for sale
214,"80 W Washington Pl, New York, NY 10011",6 bds,9 ba,"8,757 sqft",- House for sale
215,"75-24 Bell Blvd APT 5A, Oakland Gardens, NY 11364",2 bds,2 ba,-- sqft,- Condo for sale
216,"53 Stanton St APT 5A, New York, NY 10002",1 bd,1 ba,-- sqft,- Condo for sale
217,"303 E 57th St APT 9H, New York, NY 10022",1 bd,1 ba,-- sqft,- Condo for sale
218,"33 E 74th St, New York, NY 10021",5 bds,6 ba,"10,088 sqft",- Townhouse for sale
219,"10 E 62nd St, New York, NY 10065",10 bds,17 ba,"14,750 sqft",- Multi-family home for sale
220,"1034 E 212th St, Bronx, NY 10469",3 bds,2 ba,"2,314 sqft",- Multi-family home for sale
221,"935 E 178th St, Bronx, NY 10460",2 bds,1 ba,990 sqft,- New construction
222,"232 Oakland Ave, Staten Island, NY 10310",4 bds,3 ba,"1,792 sqft",- House for sale
223,"108 5th Ave #12B, New York, NY 10003",2 bds,2 ba,"1,296 sqft",- Condo for sale
224,"7015 Manse St, Flushing, NY 11375",3 bds,2 ba,"1,674 sqft",- House for sale
225,"5 E 63rd St, New York, NY 10065",13 bds,19 ba,"11,875 sqft",- Multi-family home for sale
226,"1755 W 8th St, Brooklyn, NY 11223",6 bds,3 ba,"1,504 sqft",- Multi-family home for sale
227,"380 E 8th St, Brooklyn, NY 11218",4 bds,3 ba,"2,237 sqft",- House for sale
228,"217 W 57th St #115, New York, NY 10019",5 bds,6 ba,"7,074 sqft",- Condo for sale
229,"111-74 145th St, Jamaica, NY 11435",3 bds,4 ba,-- sqft,- House for sale
230,"597 Mac Donough St, Brooklyn, NY 11233",4 bds,3 ba,"2,268 sqft",- Multi-family home for sale
231,"15 Central Park W #PH43, New York, NY 10023",3 bds,5 ba,"4,739 sqft",- Condo for sale
232,"5425 Valles Ave APT 5F, Bronx, NY 10471",2 bds,1 ba,-- sqft,- Condo for sale
233,"30 E 29th St #PHA, New York, NY 10016",3 bds,4 ba,"4,394 sqft",- Condo for sale
234,"10019 201st St, Jamaica, NY 11423",Studio,-- ba,"1,940 sqft",- House for sale
235,"2800 Schurz Ave, Bronx, NY 10465",5 bds,5 ba,"3,321 sqft",- House for sale
236,"14 Peter Ct, Staten Island, NY 10304",6 bds,8 ba,"13,500 sqft",- House for sale
237,"25 W 54th St #6A, New York, NY 10019",1 bd,1 ba,"72,845 sqft",- Condo for sale
238,"1666 W 2nd St, Brooklyn, NY 11223",3 bds,3 ba,"2,000 sqft",- House for sale
239,"2186 Cedar Ave, Bronx, NY 10468",6 bds,5 ba,"2,860 sqft",- Multi-family home for sale
240,"21 W 20th St, New York, NY 10011",3 bds,3 ba,"2,710 sqft",- Condo for sale
241,"2237 Bath Ave #3A, Brooklyn, NY 11214",3 bds,2 ba,"1,161 sqft",- Condo for sale
242,"531 E 83rd St APT 4B, New York, NY 10028",2 bds,1 ba,-- sqft,- Condo for sale
243,"420 E 51st St PENTHOUSE B, New York, NY 10022",2 bds,3 ba,"1,700 sqft",- Condo for sale
244,"420 E 51st St APT 3C, New York, NY 10022",2 bds,2 ba,"1,200 sqft",- Condo for sale
245,"408 W 25th St APT 3RW, New York, NY 10001",1 bd,1 ba,450 sqft,- Condo for sale
246,"27 E 65th St APT 14E, New York, NY 10065",3 bds,3 ba,"1,850 sqft",- Condo for sale
247,"611 W 156th St #54, New York, NY 10032",3 bds,2 ba,-- sqft,- Condo for sale
248,"3190 Ampere Ave, Bronx, NY 10465",6 bds,4 ba,"3,144 sqft",- House for sale
249,"147-35 Village Rd #35B, Jamaica, NY 11435",3 bds,2 ba,-- sqft,- Condo for sale
250,"232 E 61st St, New York, NY 10065",5 bds,8 ba,"7,000 sqft",- Townhouse for sale
251,"104-20 68th Dr #AA3, Forest Hills, NY 11375",2 bds,1 ba,"1,000 sqft",- Condo for sale
252,"19018 114th Dr, Saint Albans, NY 11412",4 bds,2 ba,"1,629 sqft",- House for sale
253,"1793 Mansion St, Bronx, NY 10460",5 bds,3 ba,"2,208 sqft",- Multi-family home for sale
254,"24-43 32nd St #A, Astoria, NY 11102",3 bds,2 ba,"1,880 sqft",- Townhouse for sale
255,"128 Silver Lake Rd, Staten Island, NY 10301",3 bds,1 ba,"2,180 sqft",- Multi-family home for sale
256,"27 E 65th St APT 14B, New York, NY 10065",2 bds,2 ba,"1,500 sqft",- Condo for sale
257,"1620 Radcliff Ave, Bronx, NY 10462",3 bds,2 ba,910 sqft,- House for sale
258,"303 W 122nd St #64, New York, NY 10027",3 bds,1 ba,"1,090 sqft",- Condo for sale
259,"860 United Nations Plz APT 31C, New York, NY 10017",5 bds,6 ba,"4,185 sqft",- Condo for sale
260,"11 Saint Nicholas Ave APT 4D, New York, NY 10026",Studio,1 ba,-- sqft,- Condo for sale
261,"187-15 Ludlum Ave, St Albans, NY 11412",3 bds,2 ba,"1,207 sqft",- House for sale
262,"321 Mayfair Dr N, Brooklyn, NY 11234",5 bds,4 ba,"4,659 sqft",- House for sale
263,"55 1/2 Downing St #2, New York, NY 10014",2 bds,2 ba,-- sqft,- Condo for sale
264,"144 Reade St, New York, NY 10013",5 bds,6 ba,"6,600 sqft",- Townhouse for sale
265,"1834 85th St, Brooklyn, NY 11214",4 bds,4 ba,"2,694 sqft",- Multi-family home for sale
266,"144-55 Melbourne Ave APT 3F, Flushing, NY 11367",2 bds,1 ba,"1,000 sqft",- Condo for sale
267,"340 E 18th St, Brooklyn, NY 11226",7 bds,3 ba,"2,848 sqft",- House for sale
268,"14787 Brookville Blvd, Jamaica, NY 11422",4 bds,2 ba,-- sqft,- Multi-family home for sale
269,"28-54 216th St, Bayside, NY 11360",3 bds,3 ba,"2,301 sqft",- House for sale
270,"11860 227th St, Jamaica, NY 11411",2 bds,1 ba,"1,038 sqft",- Home for sale
271,"3452 Ely Ave, Bronx, NY 10469",5 bds,3 ba,"2,300 sqft",- Multi-family home for sale
272,"36 Dahill Rd APT 4L, Brooklyn, NY 11218",Studio,1 ba,420 sqft,- For sale by owner
